long,lat,group,csd_code
-80.5014168,43.4646715,3530016_1,3530016
-80.5012448,43.46489139999999,3530016_1,3530016
-80.5000846,43.4654816,3530016_1,3530016
-80.5000208,43.465509600000004,3530016_1,3530016
-80.49843899999999,43.4662019,3530016_1,3530016
-80.4985403,43.4662915,3530016_1,3530016
-80.4985617,43.466310500000006,3530016_1,3530016
-80.4989911,43.466708499999996,3530016_1,3530016
-80.49967819999999,43.46735089999999,3530016_1,3530016
-80.4999971,43.4676494,3530016_1,3530016
-80.500511,43.4681109,3530016_1,3530016
-80.5008379,43.468454799999996,3530016_1,3530016
-80.5005915,43.4685595,3530016_1,3530016
-80.5000472,43.4687816,3530016_1,3530016
-80.4974603,43.4698371,3530016_1,3530016
-80.4957629,43.4704925,3530016_1,3530016
-80.4965452,43.47128190000001,3530016_1,3530016
-80.49556609999999,43.47152369999999,3530016_1,3530016
-80.4962141,43.47275,3530016_1,3530016
-80.49624270000001,43.4731436,3530016_1,3530016
-80.49410979999999,43.473890499999996,3530016_1,3530016
-80.4938371,43.473979299999996,3530016_1,3530016
-80.49350919999999,43.4740837,3530016_1,3530016
-80.49351469999999,43.47408600000001,3530016_1,3530016
-80.4935394,43.4740951,3530016_1,3530016
-80.4937609,43.47422209999999,3530016_1,3530016
-80.49422849999999,43.47448529999999,3530016_1,3530016
-80.4946343,43.47475719999999,3530016_1,3530016
-80.4950396,43.4750832,3530016_1,3530016
-80.495616,43.475643999999996,3530016_1,3530016
-80.4960194,43.476204,3530016_1,3530016
-80.4962493,43.4766679,3530016_1,3530016
-80.4964085,43.4769891,3530016_1,3530016
-80.496676,43.4775396,3530016_1,3530016
-80.4979135,43.479936699999996,3530016_1,3530016
-80.4979796,43.480064799999994,3530016_1,3530016
-80.4953422,43.4811811,3530016_1,3530016
-80.495054,43.48130810000001,3530016_1,3530016
-80.4905351,43.4832992,3530016_1,3530016
-80.4897125,43.4835135,3530016_1,3530016
-80.48754869999999,43.484077,3530016_1,3530016
-80.4871738,43.48444179999999,3530016_1,3530016
-80.48410670000001,43.4855784,3530016_1,3530016
-80.4840691,43.485641300000005,3530016_1,3530016
-80.4836567,43.4861527,3530016_1,3530016
-80.4836418,43.486449799999995,3530016_1,3530016
-80.4832818,43.4866102,3530016_1,3530016
-80.4828193,43.4871844,3530016_1,3530016
-80.4822193,43.487929,3530016_1,3530016
-80.4810317,43.4894184,3530016_1,3530016
-80.4809557,43.48962509999999,3530016_1,3530016
-80.4809263,43.489945999999996,3530016_1,3530016
-80.4810693,43.4922459,3530016_1,3530016
-80.4811263,43.493408599999995,3530016_1,3530016
-80.4811957,43.494821699999996,3530016_1,3530016
-80.4812001,43.495021400000006,3530016_1,3530016
-80.4813739,43.498297799999996,3530016_1,3530016
-80.4812762,43.4985819,3530016_1,3530016
-80.4811737,43.4990385,3530016_1,3530016
-80.4810341,43.499353899999996,3530016_1,3530016
-80.48095909999999,43.499721300000004,3530016_1,3530016
-80.4808544,43.499905299999995,3530016_1,3530016
-80.4807014,43.500019900000005,3530016_1,3530016
-80.48048229999999,43.500130999999996,3530016_1,3530016
-80.47880889999999,43.50053749999999,3530016_1,3530016
-80.4771974,43.5009354,3530016_1,3530016
-80.47708589999999,43.5009619,3530016_1,3530016
-80.4791304,43.5036625,3530016_1,3530016
-80.47919089999999,43.503746199999995,3530016_1,3530016
-80.4792502,43.503843499999995,3530016_1,3530016
-80.4797557,43.5038796,3530016_1,3530016
-80.4802108,43.5037238,3530016_1,3530016
-80.4834128,43.503021100000005,3530016_1,3530016
-80.4847186,43.502734600000004,3530016_1,3530016
-80.4881994,43.5019328,3530016_1,3530016
-80.4897934,43.501772,3530016_1,3530016
-80.4908605,43.5018268,3530016_1,3530016
