long,lat,group
-79.7244711,43.243091100000015,1
-79.7248991,43.243239999999986,1
-79.7251196,43.2432965,1
-79.7252784,43.2433613,1
-79.7254609,43.2434714,1
-79.7256202,43.2435092,1
-79.7259505,43.24362089999999,1
-79.7260131,43.243567600000006,1
-79.7261721,43.2436234,1
-79.7267947,43.243891399999995,1
-79.7269906,43.2439476,1
-79.7270029,43.2439478,1
-79.72717349999999,43.244039699999995,1
-79.7272828,43.244113,1
-79.7273447,43.244095699999995,1
-79.7274936,43.244043299999994,1
-79.7276412,43.2440539,1
-79.72783749999999,43.24409210000001,1
-79.7278623,43.2440834,1
-79.7280954,43.24413100000001,1
-79.7282903,43.2442322,1
-79.728657,43.2443714,1
-79.72870830000001,43.24427290000001,1
-79.7288066,43.244283,1
-79.7292923,43.24448830000001,1
-79.7293316,43.244504899999995,1
-79.729661,43.244661699999995,1
-79.72991789999999,43.24474560000001,1
-79.7299543,43.24477299999999,1
-79.7300886,43.2448285,1
-79.73072280000001,43.2451327,1
-79.73084419999999,43.2452151,1
-79.73091810000001,43.2452159,1
-79.73101659999999,43.245217,1
-79.7311268,43.2452542,1
-79.7312486,43.2453186,1
-79.7314195,43.245392499999994,1
-79.7316292,43.2453769,1
-79.7317643,43.2453964,1
-79.7318744,43.2454336,1
-79.7319346,43.2454973,1
-79.7321192,43.2455084,1
-79.7322414,43.245554700000014,1
-79.7324972,43.245692600000005,1
-79.73256049999999,43.2456123,1
-79.7325984,43.245567699999995,1
-79.73268589999999,43.24550560000001,1
-79.73299410000001,43.24549100000001,1
-79.7333376,43.2455579,1
-79.73340999999999,43.24563069999999,1
-79.7334216,43.2456669,1
-79.73348279999999,43.24568550000001,1
-79.7336947,43.24556180000001,1
-79.7339657,43.2455648,1
-79.73397609999999,43.2455679,1
-79.73407259999999,43.24572770000001,1
-79.74034069999999,43.25001349999999,1
-79.74040169999999,43.25005530000001,1
-79.74902639999999,43.2560697,1
-79.7666181,43.2683304,1
-79.7692665,43.270159799999995,1
-79.7737993,43.2732902,1
-79.7767365,43.275318299999995,1
-79.7771039,43.2758639,1
-79.7786208,43.278116,1
-79.77928039999999,43.27909520000001,1
-79.78014999999999,43.280386199999995,1
-79.7804749,43.280909099999995,1
-79.7816185,43.2827498,1
-79.7827709,43.2846046,1
-79.78368449999999,43.286075,1
-79.7855336,43.2890505,1
-79.7857008,43.2893196,1
-79.7859643,43.28974359999999,1
-79.78795269999999,43.29294290000001,1
-79.79235179999999,43.3000194,1
-79.7924419,43.3001642,1
-79.792673,43.30053579999999,1
-79.7929563,43.3008755,1
-79.7931692,43.301130699999995,1
-79.79312949999999,43.30126999999999,1
-79.7967547,43.3171309,1
-79.79692320000001,43.31786760000001,1
-79.7916166,43.3210151,1
-79.7897404,43.3222756,1
-79.78886609999999,43.322863,1
-79.7887707,43.322927000000014,1
-79.7860736,43.3247387,1
-79.78511510000001,43.3253825,1
-79.7845494,43.3257625,1
-79.78065339999999,43.3278508,1
-79.7788503,43.3288172,1
-79.7785169,43.3289959,1
-79.7770967,43.329757,1
-79.7768663,43.3298805,1
-79.77479919999999,43.3309882,1
-79.769986,43.3338095,1
-79.7670663,43.335853099999994,1
-79.76322259999999,43.33854289999999,1
-79.7568831,43.343033,1
-79.7564106,43.34331549999999,1
-79.7549396,43.34447659999999,1
-79.7533971,43.34569410000001,1
-79.75140990000001,43.3472624,1
-79.7483223,43.349386300000006,1
-79.7469438,43.3503344,1
-79.7434454,43.3529263,1
-79.73913019999999,43.35612270000001,1
-79.73157839999999,43.3600676,1
-79.72876889999999,43.361919599999986,1
-79.7281769,43.362395,1
-79.72493879999999,43.3649952,1
-79.7201808,43.36881520000001,1
-79.7203517,43.3689311,1
-79.7148236,43.3735246,1
-79.7140601,43.3741589,1
-79.7109749,43.3767218,1
-79.7098527,43.37765400000001,1
-79.7018476,43.3840589,1
-79.7001671,43.3854029,1
-79.6988674,43.38644229999999,1
-79.6985409,43.386703399999995,1
-79.696882,43.3880346,1
-79.6967861,43.388109799999995,1
-79.6957881,43.3888932,1
-79.6942724,43.3900829,1
-79.69277869999999,43.3912543,1
-79.69248209999999,43.3914868,1
-79.6911057,43.39256610000001,1
-79.68762219999999,43.3953172,1
-79.68428039999999,43.39794639999999,1
-79.68321929999999,43.398781,1
-79.67910979999999,43.4026595,1
-79.67577779999999,43.4058036,1
-79.6736519,43.408489,1
-79.67083769999999,43.4120433,1
-79.6677952,43.4158852,1
-79.6659478,43.41856069999999,1
-79.6629069,43.422964,1
-79.66218099999999,43.4240151,1
-79.66063419999999,43.4262544,1
-79.65347969999999,43.4369782,1
-79.6522324,43.43871870000001,1
-79.6516141,43.4395814,1
-79.65077050000001,43.4407585,1
-79.6505272,43.44109789999998,1
-79.64966849999999,43.4423183,1
-79.6488691,43.4434544,1
-79.6482491,43.444335500000015,1
-79.6468984,43.4462549,1
